20000000,18917,Low,8.9999999999999997E-2,6.8399999999999999,8.3699999999999992,3141,Jerome McIntosh,Regular Air,Consumer,Office Supplies,Scissors, Rulers and Trimmers,Small Pack,Acme Design Line 8" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8" Cut,0.57999999999999996,United States,Central,Texas,Pasadena,77506,2015-06-01 00:00:00,2015-06-08 00:00:00,-88.584999999999994,13,87.099999999999994,86369,Chris,20000000
20000000,24737,Medium,0.02,15.94,5.4500000000000002,1069,Pam Bennett,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Boston 16701 Slimline Battery Pencil Sharpener,0.55000000000000004,United States,Central,Illinois,Carbondale,62901,2015-05-14 00:00:00,2015-05-15 00:00:00,139.61199999999999,41,664.34000000000003,87110,Chris,20000000
20000000,26176,High,4.0000000000000001E-2,19.23,6.1500000000000004,1075,Theodore Tyson,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,Executive Impressions 13" Clairmont Wall Clock,0.44,United States,Central,Illinois,Romeoville,60441,2015-03-09 00:00:00,2015-03-10 00:00:00,152.4348,11,220.91999999999999,86422,Chris,20000000
20000000,23312,Not Specified,8.0000000000000002E-2,13.9,7.5899999999999999,1080,Colleen Fletcher,Regular Air,Corporate,Office Supplies,Scissors, Rulers and Trimmers,Small Pack,Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8" Cut, 8"L,0.56000000000000005,United States,Central,Illinois,Saint Charles,60174,2015-05-08 00:00:00,2015-05-09 00:00:00,9.8620000000000001,14,196.41,88461,Chris,20000000
20000000,19380,Low,5.9999999999999998E-2,10.140000000000001,2.27,1005,Lloyd Dickson,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Staples Wirebound Steno Books, 6" x 9", 12/Pack,0.35999999999999999,United States,Central,Illinois,Buffalo Grove,60089,2015-03-04 00:00:00,2015-03-04 00:00:00,-3.8799999999999999,1,12.18,90043,Chris,20000000
20000000,21988,Medium,0.01,1.76,0.69999999999999996,2372,Marvin Parrott,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56000000000000005,United States,Central,Minnesota,Duluth,55803,2015-03-15 00:00:00,2015-03-16 00:00:00,-1.5600000000000001,4,7.2000000000000002,90714,Chris,20000000
20000000,22526,Medium,5.0000000000000003E-2,11.58,6.9699999999999998,2339,Gordon Boswell,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Peel & Seel® Recycled Catalog Envelopes, Brown,0.34999999999999998,United States,Central,Texas,Cloverleaf,77015,2015-05-25 00:00:00,2015-05-28 00:00:00,2.806,6,73.959999999999994,91482,Chris,20000000
20000000,24952,Low,5.9999999999999998E-2,3.7400000000000002,0.93999999999999995,2334,Stephanie Hawkins,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,Rubber Band Ball,0.82999999999999996,United States,Central,Wisconsin,Greenfield,53220,2015-06-02 00:00:00,2015-06-09 00:00:00,-7.6849999999999996,12,44.75,89610,Chris,20000000
20000000,22970,Critical,4.0000000000000001E-2,4.2800000000000002,5.6799999999999997,2046,Eileen Schwartz,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 199,0.40000000000000002,United States,Central,Kansas,Liberal,67901,2015-06-12 00:00:00,2015-06-14 00:00:00,-27.375,7,31.539999999999999,88219,Chris,20000000
20000000,22971,Critical,5.9999999999999998E-2,376.13,85.629999999999995,2046,Eileen Schwartz,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bretford Rectangular Conference Table Tops,0.73999999999999999,United States,Central,Kansas,Liberal,67901,2015-06-12 00:00:00,2015-06-14 00:00:00,-435.75749999999999,13,4634.6899999999996,88219,Chris,20000000
20000000,22972,Critical,5.9999999999999998E-2,424.20999999999998,110.2,2046,Eileen Schwartz,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Bush Advantage Collection® Racetrack Conference Table,0.67000000000000004,United States,Central,Kansas,Liberal,67901,2015-06-12 00:00:00,2015-06-13 00:00:00,682.52999999999997,17,7304.0299999999997,88219,Chris,20000000
